index,Date,USDAUD
199,2016-07-18,1.320504
200,2016-07-19,1.331798
201,2016-07-20,1.338803
202,2016-07-21,1.332299
203,2016-07-22,1.338304
204,2016-07-23,1.338304
205,2016-07-24,1.337905
206,2016-07-25,1.3376
207,2016-07-26,1.330699
208,2016-07-27,1.329898
209,2016-07-28,1.331303
210,2016-07-29,1.314304
211,2016-07-30,1.314304
212,2016-07-31,1.317801
213,2016-08-01,1.328301
214,2016-08-02,1.31598
215,2016-08-03,1.317499
216,2016-08-04,1.309016
217,2016-08-05,1.311304
218,2016-08-06,1.311304
219,2016-08-07,1.313699
220,2016-08-08,1.305501
221,2016-08-09,1.304601
222,2016-08-10,1.295799
223,2016-08-11,1.299403
224,2016-08-12,1.306704
225,2016-08-13,1.306704
226,2016-08-14,1.305802
227,2016-08-15,1.302295
228,2016-08-16,1.298597
229,2016-08-17,1.304504
230,2016-08-18,1.301988
231,2016-08-19,1.311804
232,2016-08-20,1.311804
233,2016-08-21,1.314205
234,2016-08-22,1.310197
235,2016-08-23,1.313033
236,2016-08-24,1.313901
237,2016-08-25,1.311502
238,2016-08-26,1.320704
239,2016-08-27,1.320704
240,2016-08-28,1.325302
241,2016-08-29,1.319401
242,2016-08-30,1.329201
243,2016-08-31,1.329897
244,2016-09-01,1.3242
245,2016-09-02,1.318704
246,2016-09-03,1.318704
247,2016-09-04,1.321801
248,2016-09-05,1.317204
249,2016-09-06,1.300701
250,2016-09-07,1.303697
251,2016-09-08,1.306804
252,2016-09-09,1.324104
253,2016-09-10,1.324104
254,2016-09-11,1.325396
255,2016-09-12,1.321399
256,2016-09-13,1.338499
257,2016-09-14,1.336496
258,2016-09-15,1.3308
259,2016-09-16,1.333204
260,2016-09-17,1.333204
261,2016-09-18,1.332899
262,2016-09-19,1.326301
263,2016-09-20,1.322702
264,2016-09-21,1.309698
265,2016-09-22,1.307102
266,2016-09-23,1.309504
267,2016-09-24,1.309504
268,2016-09-25,1.313023
269,2016-09-26,1.309903
270,2016-09-27,1.303397
271,2016-09-28,1.299701
272,2016-09-29,1.310802
273,2016-09-30,1.304104
274,2016-10-01,1.304104
275,2016-10-02,1.308304
276,2016-10-03,1.301103
277,2016-10-04,1.3141
278,2016-10-05,1.311902
279,2016-10-06,1.319697
280,2016-10-07,1.316041
281,2016-10-08,1.316041
282,2016-10-09,1.315904
283,2016-10-10,1.315899
284,2016-10-11,1.322101
285,2016-10-12,1.323401
286,2016-10-13,1.322101
287,2016-10-14,1.311041
288,2016-10-15,1.311041
289,2016-10-16,1.316017
290,2016-10-17,1.308401
291,2016-10-18,1.303197
292,2016-10-19,1.294299
293,2016-10-20,1.3096
294,2016-10-21,1.312804
295,2016-10-22,1.312804
296,2016-10-23,1.314898
297,2016-10-24,1.316899
298,2016-10-25,1.307101
299,2016-10-26,1.306896
300,2016-10-27,1.317299
301,2016-10-28,1.315404
302,2016-10-29,1.315404
303,2016-10-30,1.315899
304,2016-10-31,1.314598
305,2016-11-01,1.307025
306,2016-11-02,1.306598
307,2016-11-03,1.301206
308,2016-11-04,1.302104
309,2016-11-05,1.302104
310,2016-11-06,1.302702
311,2016-11-07,1.2961
312,2016-11-08,1.2913
313,2016-11-09,1.307404
314,2016-11-10,1.313101
315,2016-11-11,1.323604
316,2016-11-12,1.323604
317,2016-11-13,1.323301
318,2016-11-14,1.320799
319,2016-11-15,1.324101
320,2016-11-16,1.334302
321,2016-11-17,1.3516
322,2016-11-18,1.361304
323,2016-11-19,1.361304
324,2016-11-20,1.365499
325,2016-11-21,1.355402
326,2016-11-22,1.349796
327,2016-11-23,1.356004
328,2016-11-24,1.348202
329,2016-11-25,1.342104
330,2016-11-26,1.342104
331,2016-11-27,1.3431
332,2016-11-28,1.334099
333,2016-11-29,1.336002
334,2016-11-30,1.353602
335,2016-12-01,1.347394
336,2016-12-02,1.339104
337,2016-12-03,1.339104
338,2016-12-04,1.342899
339,2016-12-05,1.337898
340,2016-12-06,1.338198
341,2016-12-07,1.335699
342,2016-12-08,1.340602
343,2016-12-09,1.340804
344,2016-12-10,1.340804
345,2016-12-11,1.342202
346,2016-12-12,1.333401
347,2016-12-13,1.334302
348,2016-12-14,1.349099
349,2016-12-15,1.357295
350,2016-12-16,1.367204
351,2016-12-17,1.367204
352,2016-12-18,1.371401
353,2016-12-19,1.379105
354,2016-12-20,1.375298
355,2016-12-21,1.381981
356,2016-12-22,1.384699
357,2016-12-23,1.392404
358,2016-12-24,1.392404
359,2016-12-25,1.392897
360,2016-12-26,1.392599
361,2016-12-27,1.3906
362,2016-12-28,1.391798
363,2016-12-29,1.381989
364,2016-12-30,1.386204
365,2016-12-31,1.386204
366,2017-01-01,1.385698
367,2017-01-02,1.389903
368,2017-01-03,1.383041
369,2017-01-04,1.372902
370,2017-01-05,1.362604
371,2017-01-06,1.368404
372,2017-01-07,1.368404
373,2017-01-08,1.3679
374,2017-01-09,1.365297
